uptime, sync, seq, step, SWPMON, temp1, adc
45542779, 0xAAAA, 8559, 0007, 2.36440, 1.90344, 0.0000000
45545905, 0xAAAA, 8560, 0007, 2.55216, 1.90344, 0.0000000
45549081, 0xAAAA, 8561, 0007, 2.53121, 1.90505, 0.0000000
45552230, 0xAAAA, 8562, 0006, 2.54974, 1.90425, 0.0000000
45555302, 0xAAAA, 8563, 0006, 2.36842, 1.90264, 0.0000000
45558401, 0xAAAA, 8564, 0005, 2.36440, 1.90344, 0.0000000
45561526, 0xAAAA, 8565, 0005, 2.36359, 1.90505, 0.0000000
45564668, 0xAAAA, 8566, 0004, 1.96872, 1.90425, 0.0000000
45567777, 0xAAAA, 8567, 0004, 1.57223, 1.90425, 0.0000000
45570902, 0xAAAA, 8568, 0003, 1.57868, 1.90344, 0.0000000
45574046, 0xAAAA, 8569, 0003, 1.57546, 1.90425, 0.0000000
45577214, 0xAAAA, 8570, 0002, 1.18220, 1.90425, 0.0000000
45580285, 0xAAAA, 8571, 0002, 1.18220, 1.90425, 0.0000000
45583682, 0xAAAA, 8572, 0001, 0.78733, 1.90425, 0.0000000
45586542, 0xAAAA, 8573, 0001, 0.36264, 1.90425, 0.0000000
45589654, 0xAAAA, 8574, 0000, 0.38762, 1.90425, 0.0000000
45592791, 0xAAAA, 8575, 0000, 0.39165, 1.90505, 0.0000000
45595904, 0xAAAA, 8576, 0000, 0.01128, 1.90425, 0.0000000
45599048, 0xAAAA, 8577, 0000, 0.01128, 1.90425, 0.0000000
45602242, 0xAAAA, 8578, 0001, 0.01128, 1.90425, 0.0000000
45605290, 0xAAAA, 8579, 0001, 0.39245, 1.90425, 0.0000000
45608405, 0xAAAA, 8580, 0002, 0.37956, 1.90425, 0.0000000
45611542, 0xAAAA, 8581, 0002, 0.39407, 1.90344, 0.0000000
45614654, 0xAAAA, 8582, 0003, 0.78733, 1.90344, 0.0000000
45617784, 0xAAAA, 8583, 0003, 0.78813, 1.90344, 0.0000000
45620917, 0xAAAA, 8584, 0004, 1.18220, 1.90344, 0.0000000
45624061, 0xAAAA, 8585, 0004, 1.58835, 1.90425, 0.0000000
45627231, 0xAAAA, 8586, 0005, 1.58271, 1.90344, 0.0000000
45630292, 0xAAAA, 8587, 0005, 1.55853, 1.90344, 0.0000000
45633401, 0xAAAA, 8588, 0006, 1.95099, 1.90344, 0.0000000
45636527, 0xAAAA, 8589, 0006, 1.90022, 1.90425, 0.0000000
45639651, 0xAAAA, 8590, 0007, 2.36520, 1.90344, 0.0000000
45642775, 0xAAAA, 8591, 0007, 2.54894, 1.90344, 0.0000000
45646255, 0xAAAA, 8592, 0007, 2.55055, 1.90344, 0.0000000
45649079, 0xAAAA, 8593, 0007, 2.55458, 1.90344, 0.0000000
45652229, 0xAAAA, 8594, 0006, 2.56828, 1.90425, 0.0000000
45655316, 0xAAAA, 8595, 0006, 2.54974, 1.90344, 0.0000000
45658404, 0xAAAA, 8596, 0005, 2.36440, 1.90425, 0.0000000
45661529, 0xAAAA, 8597, 0005, 1.96952, 1.90344, 0.0000000
45664667, 0xAAAA, 8598, 0004, 1.97194, 1.90425, 0.0000000
45667780, 0xAAAA, 8599, 0004, 1.97033, 1.90425, 0.0000000
45670904, 0xAAAA, 8600, 0003, 1.57707, 1.90344, 0.0000000
45674067, 0xAAAA, 8601, 0003, 1.18139, 1.90344, 0.0000000
45677217, 0xAAAA, 8602, 0002, 1.18059, 1.90425, 0.0000000
45680289, 0xAAAA, 8603, 0002, 0.78652, 1.90425, 0.0000000
45683418, 0xAAAA, 8604, 0001, 0.78733, 1.90425, 0.0000000
45686542, 0xAAAA, 8605, 0001, 0.75670, 1.90425, 0.0000000
45689650, 0xAAAA, 8606, 0000, 0.38923, 1.90425, 0.0000000
45692775, 0xAAAA, 8607, 0000, 0.01128, 1.90425, 0.0000000
45695900, 0xAAAA, 8608, 0000, 0.01128, 1.90425, 0.0000000
45699045, 0xAAAA, 8609, 0000, 0.01128, 1.90828, 0.0000000
45702239, 0xAAAA, 8610, 0001, 0.01289, 1.90425, 0.0000000
45705286, 0xAAAA, 8611, 0001, 0.01128, 1.90425, 0.0000000
45708699, 0xAAAA, 8612, 0002, 0.38923, 1.90425, 0.0000000
45711526, 0xAAAA, 8613, 0002, 0.78733, 1.90425, 0.0000000
45714651, 0xAAAA, 8614, 0003, 0.78813, 1.90344, 0.0000000
45717784, 0xAAAA, 8615, 0003, 0.78652, 1.90667, 0.0000000
45720917, 0xAAAA, 8616, 0004, 1.23297, 1.90425, 0.0000000
45724061, 0xAAAA, 8617, 0004, 1.17092, 1.90022, 0.0000000
45727245, 0xAAAA, 8618, 0005, 1.56579, 1.90344, 0.0000000
45730288, 0xAAAA, 8619, 0005, 1.97758, 1.90344, 0.0000000
45733405, 0xAAAA, 8620, 0006, 1.96308, 1.90344, 0.0000000
45736531, 0xAAAA, 8621, 0006, 1.98484, 1.90344, 0.0000000
45739655, 0xAAAA, 8622, 0007, 2.39663, 1.90344, 0.0000000
45742779, 0xAAAA, 8623, 0007, 2.36520, 1.90344, 0.0000000
45745920, 0xAAAA, 8624, 0007, 2.55055, 1.90344, 0.0000000
45749082, 0xAAAA, 8625, 0007, 2.55216, 1.90344, 0.0000000
45752229, 0xAAAA, 8626, 0006, 2.56264, 1.90183, 0.0000000
45755313, 0xAAAA, 8627, 0006, 2.55216, 1.90425, 0.0000000
45758401, 0xAAAA, 8628, 0005, 2.36520, 1.90425, 0.0000000
45761525, 0xAAAA, 8629, 0005, 2.36520, 1.90344, 0.0000000
45764666, 0xAAAA, 8630, 0004, 1.97114, 1.90344, 0.0000000
45767777, 0xAAAA, 8631, 0004, 1.57626, 1.90425, 0.0000000
45771271, 0xAAAA, 8632, 0003, 1.57626, 1.90344, 0.0000000
45774060, 0xAAAA, 8633, 0003, 1.57707, 1.90425, 0.0000000
45777214, 0xAAAA, 8634, 0002, 1.18220, 1.90425, 0.0000000
45780285, 0xAAAA, 8635, 0002, 1.18220, 1.90344, 0.0000000
45783406, 0xAAAA, 8636, 0001, 0.77524, 1.90425, 0.0000000
45786542, 0xAAAA, 8637, 0001, 0.39004, 1.90425, 0.0000000
45789654, 0xAAAA, 8638, 0000, 0.39084, 1.90183, 0.0000000
45792779, 0xAAAA, 8639, 0000, 0.39165, 1.90425, 0.0000000
45795904, 0xAAAA, 8640, 0000, 0.01209, 1.90425, 0.0000000
45799065, 0xAAAA, 8641, 0000, 0.01128, 1.90505, 0.0000000
45802231, 0xAAAA, 8642, 0001, 0.01209, 1.90425, 0.0000000
45805290, 0xAAAA, 8643, 0001, 0.41341, 1.90425, 0.0000000
45808405, 0xAAAA, 8644, 0002, 0.39245, 1.90425, 0.0000000
45811529, 0xAAAA, 8645, 0002, 0.39165, 1.90344, 0.0000000
45814654, 0xAAAA, 8646, 0003, 0.78733, 1.90344, 0.0000000
45817800, 0xAAAA, 8647, 0003, 0.76154, 1.90425, 0.0000000
45820917, 0xAAAA, 8648, 0004, 1.17736, 1.90344, 0.0000000
45824061, 0xAAAA, 8649, 0004, 1.58029, 1.90344, 0.0000000
45827242, 0xAAAA, 8650, 0005, 1.57707, 1.90344, 0.0000000
45830285, 0xAAAA, 8651, 0005, 1.57868, 1.90344, 0.0000000
45833688, 0xAAAA, 8652, 0006, 1.96952, 1.90344, 0.0000000
45836541, 0xAAAA, 8653, 0006, 2.35875, 1.90505, 0.0000000
45839651, 0xAAAA, 8654, 0007, 2.36842, 1.90344, 0.0000000
45842776, 0xAAAA, 8655, 0007, 2.57150, 1.90425, 0.0000000
45845913, 0xAAAA, 8656, 0007, 2.55055, 1.90344, 0.0000000
45849078, 0xAAAA, 8657, 0007, 2.55055, 1.90425, 0.0000000
45852246, 0xAAAA, 8658, 0006, 2.55136, 1.90344, 0.0000000
45855301, 0xAAAA, 8659, 0006, 2.36601, 1.90425, 0.0000000
45858404, 0xAAAA, 8660, 0005, 2.36520, 1.90425, 0.0000000
45861529, 0xAAAA, 8661, 0005, 1.97194, 1.90586, 0.0000000
45864665, 0xAAAA, 8662, 0004, 1.97194, 1.90425, 0.0000000
45867780, 0xAAAA, 8663, 0004, 1.97114, 1.90425, 0.0000000
45870904, 0xAAAA, 8664, 0003, 1.57546, 1.90425, 0.0000000
45874050, 0xAAAA, 8665, 0003, 1.18139, 1.90344, 0.0000000
45877218, 0xAAAA, 8666, 0002, 1.18139, 1.90425, 0.0000000
45880289, 0xAAAA, 8667, 0002, 1.20234, 1.90425, 0.0000000
45883408, 0xAAAA, 8668, 0001, 0.78007, 1.90344, 0.0000000
45886542, 0xAAAA, 8669, 0001, 0.78813, 1.92681, 0.0000000
45889683, 0xAAAA, 8670, 0000, 0.39165, 1.90425, 0.0000000
45892775, 0xAAAA, 8671, 0000, 0.01451, 1.90425, 0.0000000
45896265, 0xAAAA, 8672, 0000, 0.01128, 1.90505, 0.0000000
45899058, 0xAAAA, 8673, 0000, 0.01128, 1.90425, 0.0000000
45902231, 0xAAAA, 8674, 0001, 0.01451, 1.90425, 0.0000000
45905286, 0xAAAA, 8675, 0001, 0.01128, 1.90425, 0.0000000
45908417, 0xAAAA, 8676, 0002, 0.39004, 1.90425, 0.0000000
45911527, 0xAAAA, 8677, 0002, 0.78733, 1.90425, 0.0000000
45914651, 0xAAAA, 8678, 0003, 0.78571, 1.90425, 0.0000000
45917799, 0xAAAA, 8679, 0003, 0.78491, 1.90344, 0.0000000
45920918, 0xAAAA, 8680, 0004, 1.18220, 1.90505, 0.0000000
45924062, 0xAAAA, 8681, 0004, 1.18139, 1.90344, 0.0000000
45927237, 0xAAAA, 8682, 0005, 1.57626, 1.90344, 0.0000000
45930288, 0xAAAA, 8683, 0005, 1.97114, 1.90344, 0.0000000
45933405, 0xAAAA, 8684, 0006, 1.97275, 1.90183, 0.0000000
45936542, 0xAAAA, 8685, 0006, 1.96952, 1.90344, 0.0000000
