sync, uptime, seq, step, SWPMON, adc
0xEEEE, 9811662, 3139, 0001, 0.01209, 4.8454261
0xEEEE, 9814787, 3140, 0002, 0.39245, 4.8580148
0xEEEE, 9817918, 3141, 0002, 0.77766, 4.8611429
0xEEEE, 9821065, 3142, 0003, 0.76799, 4.8502327
0xEEEE, 9824153, 3143, 0003, 0.78652, 4.8531319
0xEEEE, 9827276, 3144, 0004, 1.18381, 4.8577096
0xEEEE, 9830401, 3145, 0004, 1.19751, 4.8527504
0xEEEE, 9833527, 3146, 0005, 1.57868, 4.8503853
0xEEEE, 9836662, 3147, 0005, 1.57868, 4.8485542
0xEEEE, 9839776, 3148, 0006, 1.97355, 4.8624399
0xEEEE, 9842910, 3149, 0006, 2.39018, 4.8521401
0xEEEE, 9846045, 3150, 0007, 2.36520, 4.8455787
0xEEEE, 9849171, 3151, 0007, 2.36601, 4.8480964
0xEEEE, 9852288, 3152, 0007, 2.60132, 4.8628977
0xEEEE, 9855414, 3153, 0007, 2.55055, 4.8495460
0xEEEE, 9858539, 3154, 0006, 2.55136, 4.8528267
0xEEEE, 9861662, 3155, 0006, 2.55458, 4.8553445
0xEEEE, 9864777, 3156, 0005, 2.36601, 4.8603799
0xEEEE, 9867929, 3157, 0005, 1.97194, 4.8588540
0xEEEE, 9871043, 3158, 0004, 1.96791, 4.8451972
0xEEEE, 9874166, 3159, 0004, 1.97194, 4.8614481
0xEEEE, 9877287, 3160, 0003, 1.55289, 4.8530556
0xEEEE, 9880412, 3161, 0003, 1.57788, 4.8517586
0xEEEE, 9883535, 3162, 0002, 1.18462, 4.8547341
0xEEEE, 9886651, 3163, 0002, 1.19509, 4.8644999
0xEEEE, 9889776, 3164, 0001, 0.78733, 4.8584726
0xEEEE, 9892910, 3165, 0001, 0.39326, 4.8504616
0xEEEE, 9896046, 3166, 0000, 0.39326, 4.8509194
0xEEEE, 9899151, 3167, 0000, 0.39407, 4.8614481
0xEEEE, 9902277, 3168, 0000, 0.01451, 4.8549630
0xEEEE, 9905401, 3169, 0000, 0.01209, 4.8466468
0xEEEE, 9908526, 3170, 0001, 0.01209, 4.8558785
0xEEEE, 9911663, 3171, 0001, 0.01209, 4.8603037
0xEEEE, 9914788, 3172, 0002, 0.37634, 4.8421454
0xEEEE, 9917920, 3173, 0002, 0.41905, 4.8529793
0xEEEE, 9921074, 3174, 0003, 0.78733, 4.8623636
0xEEEE, 9924163, 3175, 0003, 0.78813, 4.8574807
0xEEEE, 9927287, 3176, 0004, 1.17978, 4.8408484
0xEEEE, 9930413, 3177, 0004, 1.16527, 4.8505379
0xEEEE, 9933554, 3178, 0005, 1.57788, 4.8625162
0xEEEE, 9936661, 3179, 0005, 2.00418, 4.8557259
0xEEEE, 9939787, 3180, 0006, 1.97194, 4.8594644
0xEEEE, 9942918, 3181, 0006, 1.97355, 4.8599222
0xEEEE, 9946043, 3182, 0007, 2.36681, 4.8551919
0xEEEE, 9949161, 3183, 0007, 2.36681, 4.8447395
0xEEEE, 9952285, 3184, 0007, 2.55538, 4.8557259
0xEEEE, 9955401, 3185, 0007, 2.54974, 4.8603037
0xEEEE, 9958526, 3186, 0006, 2.54974, 4.8535897
0xEEEE, 9961651, 3187, 0006, 2.36601, 4.8571756
0xEEEE, 9964777, 3188, 0005, 2.36601, 4.8525978
0xEEEE, 9967909, 3189, 0005, 2.36601, 4.8651865
0xEEEE, 9971036, 3190, 0004, 1.97355, 4.8610666
0xEEEE, 9974151, 3191, 0004, 1.97275, 4.8480964
0xEEEE, 9977283, 3192, 0003, 1.54484, 4.8525978
0xEEEE, 9980424, 3193, 0003, 1.57707, 4.8551156
0xEEEE, 9983538, 3194, 0002, 1.18381, 4.8551919
0xEEEE, 9986663, 3195, 0002, 0.78733, 4.8544289
0xEEEE, 9989788, 3196, 0001, 0.78813, 4.8582437
0xEEEE, 9992922, 3197, 0001, 0.78733, 4.8624399
0xEEEE, 9996047, 3198, 0000, 0.39084, 4.8506905
0xEEEE, 9999156, 3199, 0000, 0.39245, 4.8540475
0xEEEE, 10002287, 3200, 0000, 0.01370, 4.8619059
