11-29-2023, 12:55:56:33, sync, seq, adc
11-29-2023, 12:56:23:686, 0xBBBB, 2186, 3.051
11-29-2023, 12:56:23:807, 0xBBBB, 2187, 3.051
11-29-2023, 12:56:23:905, 0xBBBB, 2188, 3.051
11-29-2023, 12:56:24:6, 0xBBBB, 2189, 3.051
11-29-2023, 12:56:24:104, 0xBBBB, 2190, 3.051
11-29-2023, 12:56:24:205, 0xBBBB, 2191, 3.051
11-29-2023, 12:56:24:297, 0xBBBB, 2192, 3.051
11-29-2023, 12:56:24:387, 0xBBBB, 2193, 3.051
11-29-2023, 12:56:24:513, 0xBBBB, 2194, 3.051
11-29-2023, 12:56:24:611, 0xBBBB, 2195, 3.051
11-29-2023, 12:56:24:675, 0xBBBB, 2196, 3.051
11-29-2023, 12:56:24:776, 0xBBBB, 2197, 3.051
11-29-2023, 12:56:24:908, 0xBBBB, 2198, 3.051
11-29-2023, 12:56:25:0, 0xBBBB, 2199, 3.051
11-29-2023, 12:56:25:94, 0xBBBB, 2200, 3.051
11-29-2023, 12:56:25:194, 0xBBBB, 2201, 3.051
11-29-2023, 12:56:25:292, 0xBBBB, 2202, 3.051
11-29-2023, 12:56:25:393, 0xBBBB, 2203, 3.051
11-29-2023, 12:56:25:489, 0xBBBB, 2204, 3.051
11-29-2023, 12:56:25:580, 0xBBBB, 2205, 3.051
11-29-2023, 12:56:25:674, 0xBBBB, 2206, 3.051
11-29-2023, 12:56:25:807, 0xBBBB, 2207, 3.051
11-29-2023, 12:56:25:904, 0xBBBB, 2208, 3.051
11-29-2023, 12:56:25:973, 0xBBBB, 2209, 3.051
11-29-2023, 12:56:26:73, 0xBBBB, 2210, 3.051
11-29-2023, 12:56:26:196, 0xBBBB, 2211, 3.051
11-29-2023, 12:56:26:288, 0xBBBB, 2212, 3.051
11-29-2023, 12:56:26:389, 0xBBBB, 2213, 3.051
11-29-2023, 12:56:26:489, 0xBBBB, 2214, 3.051
11-29-2023, 12:56:26:589, 0xBBBB, 2215, 3.051
11-29-2023, 12:56:26:687, 0xBBBB, 2216, 3.051
11-29-2023, 12:56:26:777, 0xBBBB, 2217, 3.051
11-29-2023, 12:56:26:870, 0xBBBB, 2218, 3.051
11-29-2023, 12:56:26:966, 0xBBBB, 2219, 3.051
11-29-2023, 12:56:27:97, 0xBBBB, 2220, 3.051
11-29-2023, 12:56:27:197, 0xBBBB, 2221, 3.051
11-29-2023, 12:56:27:296, 0xBBBB, 2222, 3.051
11-29-2023, 12:56:27:387, 0xBBBB, 2223, 3.051
11-29-2023, 12:56:27:480, 0xBBBB, 2224, 3.051
11-29-2023, 12:56:27:579, 0xBBBB, 2225, 3.051
