11-29-2023, 10:32:01:252, sync, seq, adc
11-29-2023, 10:32:40:690, 0xBBBB, 0352, 3.061
11-29-2023, 10:32:40:782, 0xBBBB, 0353, 3.061
11-29-2023, 10:32:40:905, 0xBBBB, 0354, 3.061
11-29-2023, 10:32:40:996, 0xBBBB, 0355, 3.061
11-29-2023, 10:32:41:89, 0xBBBB, 0356, 3.061
11-29-2023, 10:32:41:181, 0xBBBB, 0357, 3.061
11-29-2023, 10:32:41:305, 0xBBBB, 0358, 3.061
11-29-2023, 10:32:41:397, 0xBBBB, 0359, 3.061
11-29-2023, 10:32:41:488, 0xBBBB, 0360, 3.061
11-29-2023, 10:32:41:580, 0xBBBB, 0361, 3.061
11-29-2023, 10:32:41:672, 0xBBBB, 0362, 3.061
11-29-2023, 10:32:41:794, 0xBBBB, 0362, 3.061
11-29-2023, 10:32:41:886, 0xBBBB, 0364, 3.061
11-29-2023, 10:32:41:978, 0xBBBB, 0365, 3.061
11-29-2023, 10:32:42:75, 0xBBBB, 0366, 3.061
11-29-2023, 10:32:42:198, 0xBBBB, 0367, 3.061
11-29-2023, 10:32:42:290, 0xBBBB, 0368, 3.061
11-29-2023, 10:32:42:383, 0xBBBB, 0369, 3.061
11-29-2023, 10:32:42:475, 0xBBBB, 0370, 3.061
11-29-2023, 10:32:42:568, 0xBBBB, 0371, 3.061
11-29-2023, 10:32:42:690, 0xBBBB, 0371, 3.061
11-29-2023, 10:32:42:782, 0xBBBB, 0373, 3.061
11-29-2023, 10:32:42:873, 0xBBBB, 0374, 3.061
11-29-2023, 10:32:42:964, 0xBBBB, 0375, 3.061
11-29-2023, 10:32:43:85, 0xBBBB, 0376, 3.061
11-29-2023, 10:32:43:175, 0xBBBB, 0377, 3.061
11-29-2023, 10:32:43:264, 0xBBBB, 0378, 3.063
11-29-2023, 10:32:43:386, 0xBBBB, 0379, 3.061
11-29-2023, 10:32:43:477, 0xBBBB, 0380, 3.061
11-29-2023, 10:32:43:570, 0xBBBB, 0381, 3.061
11-29-2023, 10:32:43:693, 0xBBBB, 0382, 3.061
11-29-2023, 10:32:43:786, 0xBBBB, 0383, 3.061
11-29-2023, 10:32:43:878, 0xBBBB, 0384, 3.061
11-29-2023, 10:32:43:970, 0xBBBB, 0385, 3.061
11-29-2023, 10:32:44:92, 0xBBBB, 0386, 3.061
11-29-2023, 10:32:44:184, 0xBBBB, 0387, 3.061
