11-29-2023, 10:25:03:38, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 10:25:15:364, 0xCCCC , 44807 , 47.080, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:453, 0xCCCC , 44807 , 47.080, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:603, 0xCCCC , 44807 , 47.080, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:722, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:840, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:15:960, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:79, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:226, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:345, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:463, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:16:582, 0xCCCC , 2183 , 1.451, 21.574, 3971.600, 3978.250, 122.560, 127.180, 1.600, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
